	address_x	coord_x	address_y	coord_y	address	sub
60	улица Лазо, 42, Благовещенск, Амурская область, Россия	(50.256656, 127.564094)			улица лазо,42,благовещенск,амурская область,россия	['амурская']
61	село Порошино, Кытмановский район, Алтайский край, Россия	(53.22949, 85.141972)			село порошино,кытмановский район,алтайский край,россия	['алтайский']
62	Школьная улица, село Петрушиха, Кытмановский район, Алтайский край, Россия	(53.500569, 85.343375)			школьная улица,село петрушиха,кытмановский район,алтайский край,россия	['алтайский']
63	село Новоозерное (Обухово), Кытмановский район, Алтайский край, Россия	(53.476894, 85.617127)			село новоозерное (обухово),кытмановский район,алтайский край,россия	['алтайский']
64	Школьная улица, село Червово, Кытмановский район, Алтайский край, Россия	(53.481588, 85.004368)	Северный Ледовитый океан	(81.41805, 0.202202)	школьная улица,село червово,кытмановский район,алтайский край,россия	['алтайский']
65	село Сунгай, Кытмановский район, Алтайский край, Россия	(53.648425, 85.53989)			село сунгай,кытмановский район,алтайский край,россия	['алтайский']
66	село Сосновый Лог, Кытмановский район, Алтайский край, Россия	(53.328649, 85.437913)			село сосновый лог,кытмановский район,алтайский край,россия	['алтайский']
67	поселок Октябрьский, Кытмановский район, Алтайский край, Россия	(53.285448, 85.329235)			поселок октябрьский,кытмановский район,алтайский край,россия	['алтайский']
68	Советская улица, село Дмитро-Титово, Кытмановский район, Алтайский край, Россия	(53.58009, 85.237544)			советская улица,село дмитро-титово,кытмановский район,алтайский край,россия	['алтайский']
69	улица Туристов, 5А, Алушта, Республика Крым, Россия	(44.683525, 34.396726)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	улица туристов,5а,алушта,республика крым,россия	['крым']
70	Центральная улица, 8, деревня Кипрево, Киржачский район, Владимирская область, Россия	(56.236511, 38.996747)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	центральная улица,8,деревня кипрево,киржачский район,владимирская область,россия	['владимирская']
71	улица Баумана, 52, Нижний Новгород, Россия	(56.278243, 43.950812)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	улица баумана,52,нижний новгород,россия	['нижегородская']
72	Школьная улица, деревня Новоселово, Киржачский район, Владимирская область, Россия	(56.058604, 39.052658)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	школьная улица,деревня новоселово,киржачский район,владимирская область,россия	['владимирская']
73	улица Шабалина, 59, Мурманск, Россия	(68.888942, 33.105353)	провинция Пактика, Афганистан	(32.512373, 68.768667)	улица шабалина,59,мурманск,россия	['мурманская']
74	проезд Капитана Тарана, 14, Мурманск, Россия	(68.96641, 33.087243)	провинция Пактика, Афганистан	(32.512373, 68.768667)	проезд капитана тарана,14,мурманск,россия	['мурманская']
75	улица Капитана Орликовой, 19, Мурманск, Россия	(68.945609, 33.093764)	провинция Пактика, Афганистан	(32.512373, 68.768667)	улица капитана орликовой,19,мурманск,россия	['мурманская']
76	Кольский проспект, 147, Мурманск, Россия	(68.904284, 33.087072)	провинция Пактика, Афганистан	(32.512373, 68.768667)	кольский проспект,147,мурманск,россия	['мурманская']
77	улица Луначарского, 144, Славгород, Алтайский край, Россия	(52.996573, 78.650539)	Баренцево море	(75.442984, 41.682099)	улица луначарского,144,славгород,алтайский край,россия	['алтайский']
78	улица Адмирала Флота Лобова, 46, Мурманск, Россия	(69.025604, 33.084808)	провинция Пактика, Афганистан	(32.512373, 68.768667)	улица адмирала флота лобова,46,мурманск,россия	['мурманская']
79	улица Победы, 9, рабочий посёлок Майна, Республика Хакасия, Россия	(53.001407, 91.484123)			улица победы,9,рабочий поселок майна,республика хакасия,россия	['хакасия']
80	улица Ленина, деревня Бебяево, сельское поселение Бебяевский сельсовет, Арзамасский район, Нижегородская область, Россия	(55.306271, 43.934148)	Мангистауский район, Мангистауская область, Казахстан	(44.829901, 52.635634)	улица ленина,деревня бебяево,сельское поселение бебяевский сельсовет,арзамасский район,нижегородская область,россия	['нижегородская']
81	Центральная улица, деревня Афанасово, Киржачский район, Владимирская область, Россия	(56.271436, 39.081781)	Балканский велаят, Туркменистан	(39.77085, 54.977587)	центральная улица,деревня афанасово,киржачский район,владимирская область,россия	['владимирская']
82	улица Кирова, 68, село Майкопское, Гулькевичский район, Краснодарский край, Россия	(45.390542, 40.75263)	Тавушская область, Армения	(40.906896, 45.218874)	улица кирова,68,село майкопское,гулькевичский район,краснодарский край,россия	['краснодарский']
